section,module,question_id,question,answer,decision_type,priority,actor,entity,workflow,status,security_level,build_instruction,test_instruction,review_required
13 Files and Documents,student_csv_template,13.001,What is document/file 'Student CSV/XLSX Template' used for?,"Columns: student_name, grade, section, school_roll_number, consent_obtained; examples included.",document,MVP,school_coordinator,students,student_csv_template,,public_or_school_specific,"Represent document student_csv_template in files/documents spec with mode=generated, formats=csv,xlsx.",Verify student_csv_template appears in file/document registry.,Yes
13 Files and Documents,student_csv_template,13.002,Who uploads or generates 'Student CSV/XLSX Template'?,Mode: generated; responsible actor(s): school_coordinator.,document_owner,MVP,school_coordinator,students,student_csv_template,,public_or_school_specific,Implement upload/generation permission for student_csv_template.,Permission test verifies only school_coordinator can create student_csv_template.,Yes
13 Files and Documents,student_csv_template,13.003,What formats are allowed for 'Student CSV/XLSX Template'?,"csv,xlsx",document_format,MVP,school_coordinator,students,student_csv_template,,public_or_school_specific,"Validate allowed file formats for student_csv_template: csv,xlsx.",Reject unsupported file format for student_csv_template.,Yes
13 Files and Documents,student_csv_template,13.004,What visibility/security applies to 'Student CSV/XLSX Template'?,public_or_school_specific,document_security,MVP,school_coordinator,students,student_csv_template,,public_or_school_specific,Apply file access policy for student_csv_template: public_or_school_specific; Template download available only when participation approved; school-specific download logged if personalised.,File access test verifies student_csv_template cannot be accessed by unauthorised users.,Yes
13 Files and Documents,student_csv_template,13.005,What lifecycle/control rule applies to 'Student CSV/XLSX Template'?,Template download available only when participation approved; school-specific download logged if personalised.,document_lifecycle,MVP,school_coordinator,students,student_csv_template,,public_or_school_specific,Implement lifecycle/control rule for student_csv_template: Template download available only when participation approved; school-specific download logged if personalised.,Lifecycle test verifies gates/audit for student_csv_template.,Yes
13 Files and Documents,student_upload_file,13.006,What is document/file 'Student Upload File' used for?,Uploaded bulk student list for parsing and validation.,document,MVP,school_coordinator,"students,files",student_upload_file,,private,"Represent document student_upload_file in files/documents spec with mode=uploaded, formats=csv,xlsx.",Verify student_upload_file appears in file/document registry.,Yes
13 Files and Documents,student_upload_file,13.007,Who uploads or generates 'Student Upload File'?,Mode: uploaded; responsible actor(s): school_coordinator.,document_owner,MVP,school_coordinator,"students,files",student_upload_file,,private,Implement upload/generation permission for student_upload_file.,Permission test verifies only school_coordinator can create student_upload_file.,Yes
13 Files and Documents,student_upload_file,13.008,What formats are allowed for 'Student Upload File'?,"csv,xlsx",document_format,MVP,school_coordinator,"students,files",student_upload_file,,private,"Validate allowed file formats for student_upload_file: csv,xlsx.",Reject unsupported file format for student_upload_file.,Yes
13 Files and Documents,student_upload_file,13.009,What visibility/security applies to 'Student Upload File'?,private,document_security,MVP,school_coordinator,"students,files",student_upload_file,,private,Apply file access policy for student_upload_file: private; Private file scoped to school_id; virus/type/size checks; no public URL.,File access test verifies student_upload_file cannot be accessed by unauthorised users.,Yes
13 Files and Documents,student_upload_file,13.010,What lifecycle/control rule applies to 'Student Upload File'?,Private file scoped to school_id; virus/type/size checks; no public URL.,document_lifecycle,MVP,school_coordinator,"students,files",student_upload_file,,private,Implement lifecycle/control rule for student_upload_file: Private file scoped to school_id; virus/type/size checks; no public URL.,Lifecycle test verifies gates/audit for student_upload_file.,Yes
