section,module,question_id,question,answer,decision_type,priority,actor,entity,workflow,status,security_level,build_instruction,test_instruction,review_required
00 Project Manifest,project_identity,00.001,What is the project code?,VERSA_OLYMPIADS,identity,MVP,,project,,,public,"Use project code in generated config, file prefixes, and documentation.",Validate project code appears in generated manifest.,No
00 Project Manifest,project_identity,00.002,What is the product name?,Versa Olympiads,identity,MVP,,project,,,public,"Display product name in portal header, login page, metadata, and emails.",Check visible product name across core pages.,Yes
00 Project Manifest,project_identity,00.003,What is the operating brand?,Finverse Academy / Versa Olympiads,identity,MVP,,project,,,public,Allow brand labels to be configured from environment or settings collection.,Check brand config renders consistently.,Yes
00 Project Manifest,project_identity,00.004,What is the business owner?,Fintermatics Education LLP / Finverse Academy owner,ownership,MVP,business_owner,project,,,internal,"Store business owner in project_manifest spec only, not in public UI unless needed.",Verify manifest contains owner metadata.,Yes
00 Project Manifest,project_identity,00.005,What type of app is being built?,B2B school-facing Olympiad operations portal with internal staff workflows,scope,MVP,,project,,,internal,Build separate school and staff journeys using shared Directus backend.,Verify routing separates school and staff areas.,Yes
00 Project Manifest,project_identity,00.006,What is the MVP outcome?,"One school can register, upload students, confirm count, pay, book an exam slot, download exam material, submit courier info, view results, and download certificates.",scope,MVP,,,end_to_end_mvp,,internal,Use this as the end-to-end acceptance path for build orchestration.,Run full E2E acceptance test from school login to certificate download.,Yes
00 Project Manifest,project_identity,00.007,What is explicitly out of scope for MVP?,"Online proctoring, parent/student accounts, mobile app, automated split settlements, AI marking, courier API integration, complex ERP accounting.",scope,MVP,,project,,,internal,Do not scaffold routes or collections for out-of-scope items unless placeholder-only.,Scan routes and schema for out-of-scope modules.,Yes
00 Project Manifest,project_identity,00.008,What backend platform is used?,"Directus Cloud as headless backend for schema, auth, roles, files, flows, and APIs.",architecture,MVP,,backend,,,internal,Connect using Directus SDK/server-side API routes; never expose admin tokens in browser.,Verify API calls route through server-side code.,Yes
00 Project Manifest,project_identity,00.009,What frontend stack is used?,Next.js + TypeScript + Tailwind + shadcn/ui.,architecture,MVP,,frontend,,,internal,"Scaffold Next.js app with app router, typed API utilities, shadcn components, and responsive layouts.",Run build and route smoke tests.,Yes
00 Project Manifest,project_identity,00.010,What UI principle applies?,Finverse owns branded UI/UX; Directus owns backend and staff data studio.,architecture,MVP,,frontend,,,internal,Build custom portal pages; use Directus Studio only for internal admin fallback.,Verify school users never see Directus Studio.,Yes
00 Project Manifest,project_identity,00.011,What deployment target is assumed?,Hostinger VPS or equivalent Node-capable deployment for Next.js portal; Directus Cloud for backend.,deployment,MVP,,deployment,,,internal,Generate deployment notes and environment variables for Hostinger VPS.,Check .env.example contains required variables but no secrets.,Yes
00 Project Manifest,project_identity,00.012,What primary domain pattern is assumed?,School portal: olympiad.finverseacademy.com; API proxy: same Next.js app; Directus: versaolympiads.directus.app.,deployment,MVP,,domain,,,internal,Use environment variables for URLs; do not hardcode final custom domains except examples.,Check config is environment-driven.,Yes
00 Project Manifest,project_identity,00.013,What timezone is used?,Asia/Kolkata for India school operations; store dates in UTC and display in configured local timezone.,standard,MVP,,project,,,internal,Use date utilities and persist UTC timestamps.,Test date rendering around slot booking and deadlines.,Yes
00 Project Manifest,project_identity,00.014,What currency is used for MVP?,INR.,standard,MVP,,payments,,,internal,Format payment values as INR and store minor units where payment provider requires.,Verify fee calculations and currency formatting.,Yes
00 Project Manifest,project_identity,00.015,What app language is used?,English first; make labels configurable for future localisation.,standard,MVP,,frontend,,,internal,Keep text in simple config or constants file for future localisation.,Check major labels come from reusable constants.,No
00 Project Manifest,modularity,00.016,How should the specification be structured?,"Use versioned modular specs under /spec/core, /spec/modules, /spec/security, /spec/changes, /spec/tests, and /spec/runbooks.",governance,MVP,,spec,,,internal,Create folders and generate one manifest per module; do not use one giant spec file.,Verify expected folder tree exists.,Yes
